,Fred Wolf|Fred Wolf,,Bob Arbogast|Pat Fraley|Barry Gordon|Bob Holt|Bob Holt|Kenneth Mars|Ken Mars|Lorenzo Music|Laurie O'Brien|Hal Smith|Hal Smith|Russi Taylor|Fred Wolf|Fred Wolf,The Adventures of the Americannbsp;Rabbit
,Michael Chapman|Michael Chapman,John Sayles,Daryl Hannah|Pamela Reed|James Remar|Thomas G. Waites,The Clan of the Cave Bear
Jean Chalopin|Andy Heyward,Bruno Bianchi|Bruno Bianchi,,Mel Blanc|Jeannie Elias|Peter Cullen,Heathcliff: The Movie
Kevin Alyn Elders,Sidney J. Furie,,Louis Gossett|Jr.|Jason Gedrick|David Suchet|Larry B. Scott|Caroline Lagerfelt|Tim Thomerson,Iron Eagle
Albert Band,John Carl Buechler,Ed Naha,Noah Hathaway|Michael Moriarty|Shelley Hack|Jenny Beck|Sonny Bono|Phil Fondacaro|Brad Hall|Anne Lockhart|Anne Lockhart|Julia Louis-Dreyfus|Gary Sandy|June Lockhart,Troll
,David Beaird,David Beaird,Deborah Foreman|Sam J. Jones|Sam Jones|Sean McClory|Howard Hesseman,My Chauffeur
Pato Guzman,Paul Mazursky,,Nick Nolte|Bette Midler|Richard Dreyfuss,Down and Out in Beverly Hills
Kenneth Utt,Sidney Lumet,,Richard Gere|Julie Christie|Gene Hackman|Kate Capshaw|Denzel Washington|E. G. Marshall|Beatrice Straight,Power
Peter Bart|Patrick Wells,Peter Markle,,Rob Lowe|Cynthia Gibb|Ed Lauter|Patrick Swayze,Youngblood
,Robert Mandel,,Bryan Brown|Brian Dennehy|Diane Venora|Cliff De Young,F/X
,,,,Night on the Galactic Railroad
Yoram Globus,Menahem Golan,,Chuck Norris|Lee Marvin|Martin Balsam|Joey Bishop|Kim Delaney|Robert Forster|Lainie Kazan|George Kennedy|Hanna Schygulla|Susan Strasberg|Bo Svenson|Robert Vaughn|Shelley Winters,The Delta Force
Leon Isaac Kennedy|John C. Strong III,,Leon Isaac Kennedy,Leon Isaac Kennedy|Nicholas Campbell|John Mengatti|Janine Turner,Knights of the City
Daniel Melnick,,,Kevin Bacon|Jami Gertz|Paul Rodriguez|Paul Rodriguez,Quicksilver
Albert Band|Charles Band,Ted Nicolaou,,Diane Franklin|Gerrit Graham|Mary Woronov|Chad Allen|Chad Allen|Jon Gries|Jonathan Gries|Alejandro Rey|Bert Remsen,TerrorVision
Anthea Sylbert,Michael Ritchie|Michael Ritchie,,Goldie Hawn|James Keach|Swoosie Kurtz,Wildcats
Nancy Greenstein|Paul L. Kaplan|Yoram Mandel|Arthur Silverman,Bill Sherwood,Bill Sherwood,Kathy Kinney|Patrick Tull,Parting Glances
,Robert Harmon,Eric Red,Rutger Hauer|C. Thomas Howell|Jennifer Jason Leigh|Jeffrey DeMunn,The Hitcher
Lauren Shuler Donner|Lauren Shuler,Howard Deutch,John Hughes|John Hughes,Molly Ringwald|Harry Dean Stanton|Jon Cryer|Annie Potts|James Spader|Andrew McCarthy,Pretty in Pink
Gerald Green,Oliver Stone,,James Woods|Jim Belushi|Michael Murphy|Michael Murphy|John Savage|John Savage|Elpidia Carrillo|Cynthia Gibb|Cindy Gibb,Salvador
,Dale Schott,Peter Sauder,,Care Bears Movie II:|A New Generation
William N. Panzer,Russell Mulcahy,,Christopher Lambert|Roxanne Hart|Clancy Brown|Sean Connery,Highlander
Cassian Elwes,John McTiernan,,Lesley-Anne Down|Pierce Brosnan,Nomads
Walt Disney,Clyde Geronimi|Eric Larson|Wolfgang Reitherman|Les Clark,,Mary Costa|Bill Shirley|Eleanor Audley|Verna Felton|Barbara Luddy|Barbara Jo Allen|Taylor Holmes|Bill Thompson (voice actor)|Bill Thompson,Sleeping Beauty
,Walter Hill|Walter Hill,John Fusco,Ralph Macchio|Joe Seneca|Jami Gertz,Crossroads
,Ron Howard,,Michael Keaton,Gung Ho
Robert Greenhut,Woody Allen,,Michael Caine|Mia Farrow|Carrie Fisher|Barbara Hershey|Lloyd Nolan|Maureen O'Sullivan|Daniel Stern|Daniel Stern|Max von Sydow|Dianne Wiest,Hannah and Her Sisters
,Ray Patterson|Ray Patterson,,Margot Kidder|Roddy McDowall|Michael Nouri|Telly Savalas,GoBots: Battle of the Rock Lords
,Allan Burns,,Mary Tyler Moore|Christine Lahti|Sam Waterston|Ted Danson,Just Between Friends
,Jerry Paris,Gene Quintano,Steve Guttenberg|Bubba Smith|David Graf|Michael Winslow|Marion Ramsey|Leslie Easterbrook|Art Metrano|Tim Kazurinsky|Bobcat Goldthwait|George Gaynes,Police Academy 3:|Back in Training
Robert L. Levy|Robert L. Levy,Hal Needham,,Bill Allen|Bill Allen|Lori Loughlin|Talia Shire|Ray Walston,Rad
Frank Marshall|Frank Marshall,Richard Benjamin,David Giler,Tom Hanks|Shelley Long|Alexander Godunov|Maureen Stapleton,The Money Pit
,David Seltzer,,Corey Haim|Charlie Sheen|Kerri Green|Courtney Thorne-Smith,Lucas
Ted Field|Robert W. Cort,Leonard Nimoy,,Tom Selleck|Steve Guttenberg|Ted Danson|Nancy Travis|Margaret Colin|Celeste Holm,Three Men and a Baby
Stanley R. Jaffe|Sherry Lansing,Adrian Lyne,,Michael Douglas|Glenn Close|Anne Archer,Fatal Attraction
Don Simpson|Jerry Bruckheimer,Tony Scott,,Judge Reinhold|JÃ¼rgen Prochnow|Ronny Cox|John Ashton|John Ashton|Brigitte Nielsen|Allen Garfield|Dean Stockwell|Paul Reiser,Beverly Hills Cop II
Larry Brezner|Mark Johnson|Mark Johnson,Barry Levinson,Mitch Markowitz,Robin Williams|Forest Whitaker,Good Morning|Vietnam
,Norman Jewison,John Patrick Shanley,Cher|Nicolas Cage|Vincent Gardenia|Olympia Dukakis|Danny Aiello,Moonstruck
Art Linson,Brian De Palma,,Kevin Costner|Charles Martin Smith|Andy GarcÃ\xada|Robert De Niro|Sean Connery,The Untouchables
,Herbert Ross,,Michael J. Fox|Helen Slater|Richard Jordan|Margaret Whitton,The Secret of My Success
Jim Kouf,John Badham,,Richard Dreyfuss|Emilio Estevez,Stakeout
Joel Silver,Richard Donner,Shane Black,Mel Gibson|Danny Glover|Gary Busey,Lethal Weapon
Neil Canton|Peter Guber|Jon Peters,George Miller|George Miller,,Jack Nicholson|Cher|Susan Sarandon|Michelle Pfeiffer|Veronica Cartwright,The Witches of Eastwick
Mark Johnson|Mark Johnson,Barry Levinson,,Dustin Hoffman|Tom Cruise|Valeria Golino,Rain Man
Frank Marshall|Frank Marshall|Robert Watts,Robert Zemeckis,,Bob Hoskins|Christopher Lloyd|Charles Fleischer|Stubby Kaye|Joanna Cassidy,Who Framed Roger Rabbit
George Folsey|Jr.,John Landis,,Eddie Murphy|Arsenio Hall|James Earl Jones|John Amos|Madge Sinclair|Shari Headley,Coming to America
James L. Brooks|Robert Greenhut,Penny Marshall,Gary Ross|Anne Spielberg,Tom Hanks|Elizabeth Perkins|Robert Loggia|John Heard|John Heard,Big
,Ivan Reitman,,Arnold Schwarzenegger|Danny DeVito|Kelly Preston|Chloe Webb|Bonnie Bartlett|Tony Jay,Twins
Jane Scott|Jane Scott,John Cornell,Paul Hogan,Linda Kozlowski|John Meillon,Crocodile Dundee II
Lawrence Gordon|Lawrence Gordon|Joel Silver,John McTiernan,,Bruce Willis|Alan Rickman|Alexander Godunov|Bonnie Bedelia,Die Hard
Robert K. Weiss,David Zucker|David Zucker,Jerry Zucker|Jerry Zucker|Jim Abrahams|Pat Proft,Leslie Nielsen,The Naked Gun:|From the Files of Police Squad!
,Roger Donaldson,,Tom Cruise|Bryan Brown|Elisabeth Shue,Cocktail
Larry Wilson|Larry Wilson,Tim Burton,,Alec Baldwin|Geena Davis|Jeffrey Jones|Catherine O'Hara|Winona Ryder|Michael Keaton,Beetlejuice
Robert Watts,Steven Spielberg,,Harrison Ford|Denholm Elliott|Alison Doody|John Rhys-Davies|Julian Glover|Sean Connery,Indiana Jones and the Last Crusade
Jon Peters|Peter Guber,Tim Burton,,Jack Nicholson|Michael Keaton|Kim Basinger|Robert Wuhl|Pat Hingle|Billy Dee Williams|Michael Gough|Jack Palance,Batman
Neil Canton|Bob Gale,Robert Zemeckis,,Michael J. Fox|Christopher Lloyd|Lea Thompson|Thomas F. Wilson,Back to the Future Part II
Paul Junger Witt|Tony Thomas|Tony Thomas,Peter Weir,Tom Schulman,Robin Williams,Dead Poets Society
Joel Silver,Richard Donner,,Mel Gibson|Danny Glover|Joe Pesci|Joss Ackland|Derrick O'Connor|Patsy Kensit,Lethal Weapon 2
,Joe Johnston,,Rick Moranis,Honey|I Shrunk the Kids
,Ivan Reitman,Harold Ramis|Dan Aykroyd,Bill Murray|Sigourney Weaver|Rick Moranis|Ernie Hudson|Annie Potts,Ghostbusters II
Howard Ashman,Ron Clements|John Musker,,RenÃ© Auberjonois|Christopher Daniel Barnes|Jodi Benson|Pat Carroll|Pat Carroll|Paddi Edwards|Buddy Hackett|Kenneth Mars|Edie McClurg|Will Ryan|Ben Wright|Ben Wright|Samuel E. Wright,The Little Mermaid
A. Kitman Ho,Oliver Stone,,Tom Cruise|Kyra Sedgwick|Raymond J. Barry|Jerry Levine|Frank Whaley|Willem Dafoe,Born on the Fourth of July
Howard W. Koch,Jerry Zucker,Bruce Joel Rubin,Patrick Swayze|Demi Moore|Whoopi Goldberg|Tony Goldwyn,Ghost
John Hughes|John Hughes,Chris Columbus|Chris Columbus,,Macaulay Culkin|Joe Pesci|Daniel Stern|Daniel Stern|John Heard|John Heard|Macaulay Culkin|Joe Pesci|Daniel Stern|Daniel Stern|John Heard|John Heard|Catherine O'Hara,Home Alone
Arnon Milchan|Steven Reuther|Gary W. Goldstein,Garry Marshall,J. F. Lawton,Richard Gere|Julia Roberts,Pretty Woman
Jim Wilson|Jim Wilson,Kevin Costner,,Mary McDonnell|Graham Greene|Graham Greene|Rodney A. Grant|Rodney Grant,Dances with Wolves
Buzz Feitshans|Ronald Shusett,Paul Verhoeven,,Arnold Schwarzenegger|Rachel Ticotin|Sharon Stone|Michael Ironside|Ronny Cox,Total Recall
Neil Canton|Bob Gale,Robert Zemeckis,,Michael J. Fox|Christopher Lloyd|Mary Steenburgen|Thomas F. Wilson|Lea Thompson,Back to the Future Part III
Charles Gordon|Charles Gordon|Lawrence Gordon|Lawrence Gordon|Joel Silver,Renny Harlin,,Bruce Willis|Bonnie Bedelia|William Atherton|Reginald VelJohnson|Franco Nero|William Sadler|William Sadler|John Amos,Die Hard 2
Sydney Pollack|Mark Rosenberg,Alan J. Pakula,,Harrison Ford|Brian Dennehy|RaÃºl JuliÃ¡|Bonnie Bedelia|Paul Winfield|Greta Scacchi,Presumed Innocent
Simon Fields|Kim Dawson,Steve Barron,,Judith Hoag|Elias Koteas,Teenage Mutant Ninja Turtles
Brian Grazer,Ivan Reitman,,Arnold Schwarzenegger|Penelope Ann Miller|Pamela Reed|Linda Hunt|Richard Tyson|Carroll Baker,Kindergarten Cop
,James Cameron,William Wisher,Template:Infobox film,Terminator 2: Judgment Day
Pen Densham|Richard Barton Lewis,Kevin Reynolds|Kevin Reynolds,,Kevin Costner|Morgan Freeman|Christian Slater|Alan Rickman|Mary Elizabeth Mastrantonio,Robin Hood: Prince of Thieves
Don Hahn,Gary Trousdale|Kirk Wise,,Paige O'Hara|Robby Benson|Richard White|Richard White|Jerry Orbach|David Ogden Stiers|Angela Lansbury|Rex Everhart|Jesse Corti,Beauty and the Beast
Kathleen Kennedy|Kathleen Kennedy|Frank Marshall|Frank Marshall|Gerald R. Molen,Steven Spielberg,,Dustin Hoffman|Robin Williams|Julia Roberts|Bob Hoskins|Maggie Smith|Charlie Korsmo,Hook
Kenneth Utt|Edward Saxon|Ron Bozman,Jonathan Demme,,Jodie Foster|Anthony Hopkins|Scott Glenn|Ted Levine,The Silence of the Lambs
A. Kitman Ho,Oliver Stone,,Kevin Costner|Kevin Bacon|Tommy Lee Jones|Laurie Metcalf|Gary Oldman|Michael Rooker|Jay O. Sanders|Sissy Spacek,JFK
Scott Rudin,Barry Sonnenfeld,Caroline Thompson|Larry Wilson|Larry Wilson,Anjelica Huston|RaÃºl JuliÃ¡|Christopher Lloyd,The Addams Family
Barbara De Fina,Martin Scorsese,,Robert De Niro|Nick Nolte|Jessica Lange|Joe Don Baker|Robert Mitchum|Gregory Peck,Cape Fear
Pat Proft,Jim Abrahams,,Charlie Sheen|Cary Elwes|Valeria Golino|Jon Cryer|Kevin Dunn|Bill Irwin|Lloyd Bridges,Hot Shots!
,Ron Underwood,Lowell Ganz|Babaloo Mandel,Billy Crystal|Daniel Stern|Daniel Stern|Bruno Kirby|Patricia Wettig|Helen Slater|Jack Palance,City Slickers
,Ron Clements|John Musker,Ted Elliott|Ted Elliott|Terry Rossio,Scott Weinger|Robin Williams|Linda Larkin|Jonathan Freeman|Jonathan Freeman|Frank Welker|Gilbert Gottfried|Douglas Seale,Aladdin
Kevin Costner|Lawrence Kasdan|Jim Wilson|Jim Wilson,Mick Jackson|Mick Jackson,,Kevin Costner|Whitney Houston|Gary Kemp|Bill Cobbs|Ralph Waite,The Bodyguard
John Hughes|John Hughes,Chris Columbus|Chris Columbus,,Macaulay Culkin|Joe Pesci|Daniel Stern|Daniel Stern|John Heard|John Heard|Tim Curry|Brenda Fricker|Macaulay Culkin|Joe Pesci|Daniel Stern|Daniel Stern|John Heard|John Heard|Tim Curry|Brenda Fricker|Catherine O'Hara,Home Alone 2: Lost in New York
Alan Marshall|Alan Marshall,Paul Verhoeven,Joe Eszterhas,Michael Douglas|Sharon Stone|George Dzundza|Jeanne Tripplehorn,Basic Instinct
Joel Silver,Richard Donner,,Mel Gibson|Danny Glover|Joe Pesci|Rene Russo|Stuart Wilson|Stuart Wilson,Lethal Weapon 3
Denise Di Novi,Tim Burton,,Michael Keaton|Danny DeVito|Michelle Pfeiffer|Christopher Walken|Michael Gough|Pat Hingle|Michael Murphy|Michael Murphy,Batman Returns
David Brown|David Brown|Andrew Scheinman,Rob Reiner,,Tom Cruise|Jack Nicholson|Demi Moore|Kevin Bacon|Kevin Pollak|James Marshall|James Marshall|J. T. Walsh|Kiefer Sutherland,A Few Good Men
,Emile Ardolino,Paul Rudnick|Joseph Howard,Whoopi Goldberg|Maggie Smith|Harvey Keitel,Sister Act
Kathleen Kennedy|Kathleen Kennedy|Gerald R. Molen,Steven Spielberg,,Sam Neill|Laura Dern|Jeff Goldblum|Richard Attenborough|Bob Peck|Martin Ferrero|B. D. Wong|Samuel L. Jackson|Wayne Knight|Joseph Mazzello|Ariana Richards,Jurassic Park
Marsha Garces Williams|Robin Williams,Chris Columbus|Chris Columbus,,Robin Williams|Sally Field|Pierce Brosnan|Harvey Fierstein|Robert Prosky,Mrs. Doubtfire
Arnold Kopelson,Andrew Davis|Andrew Davis,,Harrison Ford|Tommy Lee Jones|Sela Ward|Joe Pantoliano|Andreas Katsulas|Jeroen KrabbÃ©,The Fugitive
John Davis|John Davis|Sydney Pollack|Scott Rudin,Sydney Pollack,,Tom Cruise|Jeanne Tripplehorn|Gene Hackman|Ed Harris|Holly Hunter|Hal Holbrook|David Strathairn,The Firm
Sherry Lansing,Adrian Lyne,,Robert Redford|Demi Moore|Woody Harrelson|Oliver Platt|Seymour Cassel,Indecent Proposal
Alan Marshall|Alan Marshall,Renny Harlin,,Sylvester Stallone|John Lithgow|Michael Rooker|Janine Turner|Rex Linn|Paul Winfield|Ralph Waite,Cliffhanger
,Nora Ephron,,Tom Hanks|Meg Ryan|Bill Pullman|Ross Malinger|Gaby Hoffmann|Tom Hanks|Meg Ryan|Bill Pullman|Ross Malinger|Gaby Hoffmann|Rob Reiner,Sleepless in Seattle
Edward Saxon,Jonathan Demme,Ron Nyswaner,Tom Hanks|Denzel Washington|Jason Robards|Mary Steenburgen|Antonio Banderas,Philadelphia
Pieter Jan Brugge,Alan J. Pakula,,Julia Roberts|Denzel Washington|Sam Shepard|John Heard|John Heard|Tony Goldwyn|James Sikking|James B. Sikking|William Atherton|Robert Culp|Stanley Tucci|Hume Cronyn|John Lithgow,The Pelican Brief
Don Hahn,,,Matthew Broderick|James Earl Jones|Jeremy Irons|Rowan Atkinson|Moira Kelly|Nathan Lane|Ernie Sabella|Robert Guillaume|Jonathan Taylor Thomas|Whoopi Goldberg|Cheech Marin|Jim Cummings|Madge Sinclair,The Lion King
Wendy Finerman|Steve Tisch|Steve Starkey,Robert Zemeckis,,Tom Hanks|Robin Wright|Gary Sinise|Mykelti Williamson|Sally Field,Forrest Gump
Stephanie Austin,James Cameron,,Arnold Schwarzenegger|Jamie Lee Curtis|Tom Arnold|Tom Arnold|Art Malik|Bill Paxton|Tia Carrere,True Lies
,Chuck Russell|Charles Russell,,Jim Carrey|Peter Riegert|Peter Greene|Amy Yasbeck|Richard Jeni|Cameron Diaz,The Mask
Mark Gordon,Jan de Bont,Graham Yost,Keanu Reeves|Dennis Hopper|Sandra Bullock|Joe Morton|Alan Ruck|Jeff Daniels,Speed
Bruce Cohen,Brian Levant,Jim Jennewein|Steven E. de Souza,John Goodman|Rick Moranis|Elizabeth Perkins|Rosie O'Donnell|Kyle MacLachlan|Halle Berry|Elizabeth Taylor,The Flintstones
Charles B. Wessler|Brad Krevoy|Aaron Meyerson,Peter Farrelly,Bobby Farrelly,Jim Carrey|Jeff Daniels,Dumb and Dumber
Duncan Kenworthy,Mike Newell|Mike Newell,Richard Curtis,Hugh Grant|Andie MacDowell|Kristin Scott Thomas|Simon Callow|James Fleet|John Hannah|John Hannah|Charlotte Coleman|David Bower|Corin Redgrave|Rowan Atkinson,Four Weddings and a Funeral
David Geffen|Stephen Woolley,Neil Jordan,,Tom Cruise|Brad Pitt|Stephen Rea|Antonio Banderas|Christian Slater|Kirsten Dunst,Interview with the Vampire
Mace Neufeld|Robert Rehme,Phillip Noyce,,Harrison Ford|Willem Dafoe|Anne Archer|James Earl Jones,Clear and Present Danger
Bonnie Arnold|Ralph Guggenheim,John Lasseter,,Tom Hanks|Tim Allen|Don Rickles|Jim Varney|Wallace Shawn|John Ratzenberger|Annie Potts|John Morris|John Morris|Erik von Detten,Toy Story
,John McTiernan,,Bruce Willis|Jeremy Irons|Samuel L. Jackson|Graham Greene|Graham Greene|Colleen Camp|Larry Bryggman|Sam Phillips|Sam Phillips,Die Hard with a Vengeance
Brian Grazer,Ron Howard,,Tom Hanks|Kevin Bacon|Bill Paxton|Gary Sinise|Ed Harris|Kathleen Quinlan,Apollo 13
Michael G. Wilson|Barbara Broccoli,Martin Campbell,,Pierce Brosnan|Sean Bean|Izabella Scorupco|Famke Janssen|Joe Don Baker,GoldenEye
,Mike Gabriel|Eric Goldberg|Eric Goldberg,Carl Binder|Susannah Grant|Philip LaZebnik,Irene Bedard|Mel Gibson|David Ogden Stiers|John Kassir|Russell Means|Christian Bale|Linda Hunt|Danny Mann|Billy Connolly|Frank Welker|Michelle St. John|Gordon Tootoosis|Jim Cummings,Pocahontas
Tim Burton|Peter MacGregor-Scott,Joel Schumacher,,Val Kilmer|Tommy Lee Jones|Jim Carrey|Nicole Kidman|Chris O'Donnell|Michael Gough|Pat Hingle,Batman Forever
,David Fincher,Andrew Kevin Walker,Brad Pitt|Morgan Freeman|Gwyneth Paltrow|John C. McGinley,Seven
Colin Wilson|Colin Wilson,Brad Silberling,Sherri Stoner|Deanna Oliver|J. J. Abrams,Malachi Pearson|Christina Ricci|Bill Pullman|Cathy Moriarty|Eric Idle,Casper
Kevin Costner|John Davis|John Davis|Charles Gordon|Charles Gordon|Lawrence Gordon|Lawrence Gordon,Kevin Reynolds|Kevin Reynolds,David Twohy,Dennis Hopper|Jeanne Tripplehorn|Tina Majorino|Michael Jeter,Waterworld
,Joe Johnston,,Robin Williams|Kirsten Dunst|David Alan Grier|Bonnie Hunt|Jonathan Hyde|Bebe Neuwirth,Jumanji
Dean Devlin,Roland Emmerich,,Will Smith|Bill Pullman|Jeff Goldblum|Mary McDonnell|Judd Hirsch|Margaret Colin|Randy Quaid|Robert Loggia|James Rebhorn|Harvey Fierstein,Independence Day
Ian Bryce|Michael Crichton|Kathleen Kennedy|Kathleen Kennedy,Jan de Bont,Anne-Marie Martin,Helen Hunt|Bill Paxton|Jami Gertz|Cary Elwes,Twister
Tom Cruise|Paula Wagner,Brian De Palma,,Jon Voight|Henry Czerny|Emmanuelle BÃ©art|Jean Reno|Ving Rhames|Kristin Scott Thomas|Vanessa Redgrave,Mission: Impossible
Don Simpson|Jerry Bruckheimer,Michael Bay,,Sean Connery|Nicolas Cage|Ed Harris|Michael Biehn|William Forsythe|William Forsythe,The Rock
Don Hahn,Gary Trousdale|Kirk Wise,Jonathan Roberts|Jonathan Roberts,Tom Hulce|Demi Moore|Tony Jay|Kevin Kline|Paul Kandel|Jason Alexander|Charles Kimbrough|Mary Wickes|David Ogden Stiers,The Hunchback of Notre Dame
John Hughes|John Hughes,Stephen Herek,,Glenn Close|Jeff Daniels|Joely Richardson|Joan Plowright,101 Dalmatians
Brian Grazer|Scott Rudin,Ron Howard,,Mel Gibson|Rene Russo|Gary Sinise|Delroy Lindo|Lili Taylor,Ransom
Brian Grazer|Russell Simmons,Tom Shadyac,,Eddie Murphy|Jada Pinkett Smith|Jada Pinkett|James Coburn|Dave Chappelle,The Nutty Professor
James L. Brooks|Laurence Mark|Richard Sakai,Cameron Crowe,,Tom Cruise|Cuba Gooding Jr.|Cuba Gooding|Jr.|RenÃ©e Zellweger|Kelly Preston|Jerry O'Connell|Jay Mohr|Bonnie Hunt,Jerry Maguire
Arnold Kopelson,Chuck Russell,,Arnold Schwarzenegger|James Caan|Vanessa Williams|James Coburn|Robert Pastorelli,Eraser
Jon Landau|Jon Landau,James Cameron,,Leonardo DiCaprio|Kate Winslet|Billy Zane|Kathy Bates|Frances Fisher|Bernard Hill|Jonathan Hyde|Danny Nucci|David Warner|David Warner|Bill Paxton,Titanic
Gerald R. Molen|Colin Wilson|Colin Wilson,Steven Spielberg,,Jeff Goldblum|Julianne Moore|Pete Postlethwaite|Arliss Howard|Richard Attenborough|Vince Vaughn|Richard Schiff|Vanessa Lee Chester,The Lost World: Jurassic Park
Walter F. Parkes|Laurie MacDonald,Barry Sonnenfeld,Ed Solomon,Tommy Lee Jones|Will Smith|Linda Fiorentino|Tommy Lee Jones|Will Smith|Linda Fiorentino|Vincent D'Onofrio,Men in Black
Michael G. Wilson|Barbara Broccoli,Roger Spottiswoode,Bruce Feirstein|Nicholas Meyer|Daniel Petrie Jr.,Pierce Brosnan|Jonathan Pryce|Michelle Yeoh|Teri Hatcher|Joe Don Baker|Judi Dench,Tomorrow Never Dies
Gail Katz,Wolfgang Petersen,Andrew W. Marlowe,Harrison Ford|Gary Oldman|Glenn Close|Wendy Crewson|Paul Guilfoyle|William H. Macy|Liesel Pritzker Simmons|Liesel Matthews|Dean Stockwell,Air Force One
,James L. Brooks,,Jack Nicholson|Helen Hunt|Greg Kinnear|Cuba Gooding Jr.|Skeet Ulrich|Shirley Knight,As Good as It Gets
Brian Grazer,Tom Shadyac,,Jim Carrey|Maura Tierney|Jennifer Tilly|Swoosie Kurtz|Amanda Donohoe|Anne Haney|Justin Cooper|Justin Cooper,Liar Liar
Patrice Ledoux,Luc Besson,,Bruce Willis|Gary Oldman|Chris Tucker|Ian Holm|Milla Jovovich,The Fifth Element
Uberto Pasolini,Peter Cattaneo,Simon Beaufoy,Robert Carlyle|Tom Wilkinson|Mark Addy,The Full Monty
Jerry Bruckheimer|Gale Anne Hurd|Michael Bay,Michael Bay,,Bruce Willis|Billy Bob Thornton|Liv Tyler|Ben Affleck|Will Patton|Peter Stormare|Keith David|Steve Buscemi,Armageddon
Ian Bryce|Mark Gordon|Gary Levinsohn,Steven Spielberg,Robert Rodat,Tom Hanks|Edward Burns|Matt Damon|Tom Sizemore,Saving Private Ryan
Dean Devlin,Roland Emmerich,,Matthew Broderick|Jean Reno|Maria Pitillo|Hank Azaria|Kevin Dunn|Michael Lerner|Michael Lerner|Harry Shearer,Godzilla
David Brown|David Brown|Richard D. Zanuck,Mimi Leder,Bruce Joel Rubin|Michael Tolkin,Robert Duvall|TÃ©a Leoni|Elijah Wood|Vanessa Redgrave|Maximilian Schell|Morgan Freeman,Deep Impact
,Barry Cook|Tony Bancroft,,Ming-Na Wen|Eddie Murphy|B.D. Wong|Miguel Ferrer|June Foray|James Hong|Pat Morita|George Takei,Mulan
John Davis|John Davis|David T. Friendly,Betty Thomas,Nat Mauldin,Eddie Murphy|Ossie Davis|Oliver Platt|Chris Rock|Garry Shandling,Dr. Dolittle
David Parfitt|Donna Gigliotti|Harvey Weinstein|Edward Zwick|Marc Norman,John Madden|John Madden,Tom Stoppard,,Shakespeare in Love
Joel Silver,Richard Donner,,Mel Gibson|Danny Glover|Joe Pesci|Rene Russo|Chris Rock|Jet Li,Lethal Weapon 4
Rick McCallum,George Lucas,,Liam Neeson|Ewan McGregor|Natalie Portman|Jake Lloyd|Ian McDiarmid|Anthony Daniels|Kenny Baker (English actor)|Kenny Baker|Pernilla August|Frank Oz,Star Wars: Episode I â€“|The Phantom Menace
Frank Marshall|Frank Marshall|Kathleen Kennedy|Kathleen Kennedy,M. Night Shyamalan,,Bruce Willis|Toni Collette|Olivia Williams|Haley Joel Osment,The Sixth Sense
,John Lasseter,,Tom Hanks|Tim Allen,Toy Story 2
Joel Silver,The Wachowski Brothers,,Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss|Hugo Weaving|Joe Pantoliano,The Matrix
Bonnie Arnold,Kevin Lima|Chris Buck,,Tony Goldwyn|Minnie Driver|Glenn Close|Alex D. Linz|Rosie O'Donnell|Brian Blessed|Nigel Hawthorne|Lance Henriksen|Wayne Knight,Tarzan
James Jacks|Sean Daniel,Stephen Sommers,,Brendan Fraser|Rachel Weisz|John Hannah|John Hannah|Arnold Vosloo|Jonathan Hyde|Kevin J. O'Connor|Kevin J. O'Connor,The Mummy
